Education_Level,Age_Group,Developer_Type,Organisation_Size,Uses_AI_Tools,Currency,Years_of_Experience,Years_of_Coding_Experience,Years_of_Pro_Coding_Experience,Current_Work_Situation,Databases,Programming_Languages,Learning_Sources,Estimated_Annual_Salary
Master's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,EUR,2,5,0,Remote,SQLite;MongoDB,C++;Python;Kotlin;Java,Books / Physical media;Other online resources;Online Courses or Certification;Colleague,63248.81
High School,18-24 years old,Mid-level Developer,"10,000+ employees",No,USD,46,50,41,In-person,MongoDB,Swift;JavaScript;C#,Other online resources,147604.91
Master's,45-54 years old,Senior Developer,"10,000+ employees",No,EUR,16,18,16,Hybrid,PostgreSQL;SQLite,JavaScript;C#;Kotlin;Ruby,Colleague,80477.25
High School,35-44 years old,Tech Lead,100-499 employees,Yes,USD,26,29,24,Hybrid,MongoDB;SQLite;Oracle,Go,Online Courses or Certification;Other online resources,114600.7
Master's,18-24 years old,Tech Lead,"1,000 to 4,999 employees",No,INR,19,23,18,In-person,MySQL;MongoDB,Java;Swift,Other online resources;Online Courses or Certification;Books / Physical media,100829.95
PhD,55+ years old,Student,10-99 employees,Yes,USD,29,30,26,Remote,PostgreSQL;SQLite,Python;Kotlin;Ruby,Other online resources;Colleague;Online Courses or Certification,108293.42
Master's,45-54 years old,Tech Lead,1-9 employees,Yes,GBP,48,48,45,Remote,Oracle,Go;JavaScript;Kotlin,Online Courses or Certification;Books / Physical media;Colleague,174865.72
Master's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,GBP,21,26,16,Remote,MongoDB;MySQL,Go;C#,Colleague,108119.02
Bachelor's,35-44 years old,Senior Developer,"10,000+ employees",No,EUR,36,37,33,Remote,PostgreSQL;Oracle,C#,Books / Physical media;Colleague,124048.23
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,GBP,23,27,21,Remote,PostgreSQL;SQLite;MongoDB,Kotlin;JavaScript;C++;Java,Online Courses or Certification;Books / Physical media;Other online resources,111868.52
Bachelor's,18-24 years old,Tech Lead,100-499 employees,Yes,EUR,23,24,18,Hybrid,Oracle;SQLite,Python;C#;JavaScript;Java,Other online resources,103233.11
Bachelor's,18-24 years old,Junior Developer,1-9 employees,No,INR,17,20,14,In-person,SQLite;MongoDB,Swift,Colleague;Online Courses or Certification,61453.44
Bachelor's,35-44 years old,Mid-level Developer,100-499 employees,Yes,GBP,31,34,28,Hybrid,MongoDB;MySQL,C++;Python;C#;Java,Online Courses or Certification,97783.09
Master's,55+ years old,Senior Developer,"10,000+ employees",Yes,USD,25,25,25,Hybrid,Oracle,Swift;C#;Go,Other online resources;Colleague,107687.32
High School,18-24 years old,Student,"10,000+ employees",No,USD,24,26,20,Remote,SQLite;MongoDB;Oracle,C#;C++,Books / Physical media;Online Courses or Certification;Other online resources,85347.5
Bachelor's,45-54 years old,Mid-level Developer,1-9 employees,No,EUR,18,21,17,Remote,MySQL;Oracle,Ruby;JavaScript;Kotlin;Go,Colleague;Books / Physical media;Online Courses or Certification,62624.47
Master's,45-54 years old,Tech Lead,10-99 employees,Yes,INR,17,21,17,Remote,SQLite,C#;Java;Ruby;Go,Online Courses or Certification;Colleague;Books / Physical media,98582.74
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,INR,2,6,0,Remote,MySQL,C++,Online Courses or Certification;Books / Physical media,69004.06
PhD,25-34 years old,Tech Lead,10-99 employees,Yes,EUR,10,11,8,Remote,PostgreSQL,Go,Other online resources,89870.33
Master's,18-24 years old,Tech Lead,500-999 employees,No,INR,25,28,21,Remote,MongoDB;MySQL,Kotlin;Java,Other online resources;Online Courses or Certification,115090.28
Master's,18-24 years old,Student,1-9 employees,Yes,INR,14,17,12,Hybrid,MySQL;Oracle;PostgreSQL,Java;Go;JavaScript,Books / Physical media,69183.67
High School,55+ years old,Mid-level Developer,"1,000 to 4,999 employees",No,INR,42,43,40,Hybrid,Oracle,C++;Ruby;Go;Python,Colleague;Other online resources,122068.13
High School,25-34 years old,Student,"1,000 to 4,999 employees",Yes,GBP,22,23,22,Hybrid,Oracle;MongoDB;MySQL,Swift;C++,Other online resources;Colleague,80405.94
PhD,55+ years old,Tech Lead,"10,000+ employees",Yes,INR,35,37,30,Remote,SQLite;Oracle,Swift;JavaScript;Python;C#,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,159896.44
Bachelor's,25-34 years old,Student,100-499 employees,No,USD,46,50,46,Hybrid,Oracle,Java,Colleague;Other online resources,134210.49
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",No,INR,24,27,23,In-person,MongoDB;Oracle,Java;Swift,Other online resources;Colleague,119173.16
PhD,55+ years old,Mid-level Developer,100-499 employees,Yes,EUR,16,18,16,Hybrid,MongoDB;Oracle;PostgreSQL,Kotlin;Java;C#;JavaScript,Online Courses or Certification;Colleague,84797.25
Bachelor's,45-54 years old,Mid-level Developer,"10,000+ employees",No,GBP,12,17,11,Remote,MySQL,C#,Other online resources;Books / Physical media;Online Courses or Certification;Colleague,63374.14
High School,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",Yes,USD,33,34,29,In-person,SQLite,C#;JavaScript;Java;Kotlin,Other online resources;Colleague;Books / Physical media;Online Courses or Certification,139977.52
High School,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,USD,2,5,0,Remote,MySQL;Oracle,Go;Java;Ruby;Python,Colleague,46235.72
High School,25-34 years old,Mid-level Developer,500-999 employees,No,GBP,26,29,21,Hybrid,Oracle,JavaScript,Books / Physical media;Online Courses or Certification;Colleague,80787.69
Bachelor's,55+ years old,Tech Lead,100-499 employees,No,GBP,1,6,0,In-person,Oracle;MongoDB,Kotlin;Go;Ruby;JavaScript,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,38482.02
Bachelor's,55+ years old,Tech Lead,"10,000+ employees",No,USD,30,34,30,In-person,Oracle;MongoDB;PostgreSQL,Java;C++;Kotlin;JavaScript,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,128203.68
High School,35-44 years old,Tech Lead,"1,000 to 4,999 employees",No,EUR,36,36,34,Hybrid,SQLite,Ruby;Java;Kotlin,Colleague,125416.02
PhD,35-44 years old,Tech Lead,"1,000 to 4,999 employees",No,EUR,40,43,38,Remote,MongoDB,Kotlin;C#,Online Courses or Certification;Colleague,150916.84
Bachelor's,25-34 years old,Student,100-499 employees,Yes,INR,25,26,21,Hybrid,MySQL;MongoDB;PostgreSQL,Go,Other online resources;Colleague;Online Courses or Certification,85361.28
High School,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",Yes,USD,14,17,14,Remote,Oracle;PostgreSQL,Ruby,Books / Physical media,76702.06
Master's,35-44 years old,Student,"1,000 to 4,999 employees",No,USD,3,6,0,Remote,Oracle;MySQL;PostgreSQL,C#;JavaScript,Other online resources,40795.99
PhD,35-44 years old,Junior Developer,500-999 employees,Yes,USD,44,45,44,Remote,Oracle;PostgreSQL,C#;Go,Books / Physical media;Colleague;Other online resources,149186.37
Bachelor's,45-54 years old,Student,100-499 employees,Yes,INR,41,41,36,In-person,MySQL;PostgreSQL,JavaScript,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,124478.48
Master's,45-54 years old,Junior Developer,10-99 employees,No,EUR,26,29,26,Remote,PostgreSQL;Oracle;MySQL,Swift;Kotlin,Books / Physical media;Online Courses or Certification;Colleague,97384.25
High School,45-54 years old,Tech Lead,"5,000 to 9,999 employees",Yes,GBP,6,10,6,In-person,PostgreSQL,Swift,Other online resources;Online Courses or Certification,69372.91
PhD,45-54 years old,Junior Developer,"5,000 to 9,999 employees",Yes,USD,5,7,0,Remote,MongoDB;MySQL,C++;C#;Go,Books / Physical media;Online Courses or Certification;Colleague;Other online resources,63463.86
PhD,45-54 years old,Senior Developer,"5,000 to 9,999 employees",No,EUR,49,50,48,In-person,MySQL;SQLite,Go;Python,Colleague;Online Courses or Certification,171076.0
Master's,35-44 years old,Tech Lead,1-9 employees,Yes,EUR,10,10,6,Hybrid,Oracle;PostgreSQL;MongoDB,Go;JavaScript,Online Courses or Certification;Other online resources;Books / Physical media,84169.91
Master's,25-34 years old,Tech Lead,10-99 employees,Yes,USD,48,50,44,Remote,PostgreSQL;MongoDB,Python;Go;C++,Colleague,178957.96
Master's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,No,USD,31,31,28,Remote,Oracle,C++,Other online resources;Books / Physical media;Colleague,128695.01
Bachelor's,25-34 years old,Senior Developer,"5,000 to 9,999 employees",Yes,GBP,25,26,22,Hybrid,MongoDB;PostgreSQL,Ruby;Go;JavaScript,Colleague,100641.54
PhD,55+ years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,USD,16,18,12,Remote,MongoDB;MySQL,JavaScript;Swift,Books / Physical media;Online Courses or Certification,81921.51
PhD,45-54 years old,Senior Developer,"1,000 to 4,999 employees",No,EUR,40,44,38,In-person,MySQL;SQLite,Python;Go;C++;JavaScript,Colleague,132397.41
High School,45-54 years old,Student,1-9 employees,No,GBP,48,50,48,Remote,SQLite,Go;C++;Kotlin,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,144753.37
Master's,55+ years old,Student,"10,000+ employees",No,USD,18,22,13,In-person,MySQL;MongoDB;SQLite,Go;Swift;Kotlin;Ruby,Colleague,88223.74
High School,45-54 years old,Tech Lead,"5,000 to 9,999 employees",Yes,USD,20,23,17,Hybrid,PostgreSQL,Ruby;Java;C++,Online Courses or Certification;Other online resources;Colleague,100890.43
Bachelor's,25-34 years old,Student,100-499 employees,No,USD,30,32,25,Hybrid,Oracle,JavaScript;Python;Swift;C#,Books / Physical media;Other online resources;Colleague,98621.17
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,GBP,27,28,26,Hybrid,Oracle,Ruby;Swift,Online Courses or Certification;Colleague;Books / Physical media,142339.47
High School,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,EUR,12,13,9,Hybrid,SQLite;PostgreSQL;Oracle,C#;Python;Kotlin;C++,Colleague;Books / Physical media,69308.43
Bachelor's,25-34 years old,Tech Lead,"1,000 to 4,999 employees",Yes,USD,44,45,42,Hybrid,SQLite,Ruby,Other online resources,154211.19
PhD,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,GBP,15,16,13,Hybrid,SQLite,Java;Python,Colleague;Books / Physical media,92488.6
PhD,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,INR,25,27,22,Remote,PostgreSQL;SQLite;Oracle,C#;Kotlin,Other online resources;Online Courses or Certification;Colleague,121399.74
High School,18-24 years old,Student,1-9 employees,No,USD,19,19,15,Hybrid,MongoDB,Go;C++;C#;Swift,Other online resources,67166.23
PhD,55+ years old,Tech Lead,100-499 employees,No,GBP,30,34,27,In-person,MySQL,Java,Online Courses or Certification;Other online resources;Colleague,131451.62
Bachelor's,25-34 years old,Mid-level Developer,"10,000+ employees",Yes,USD,12,14,9,Hybrid,MongoDB;Oracle;PostgreSQL,Java,Colleague,62055.9
PhD,45-54 years old,Senior Developer,"1,000 to 4,999 employees",Yes,USD,19,21,18,Remote,PostgreSQL;Oracle;MySQL,Java;C++;Swift,Online Courses or Certification;Other online resources,82997.85
High School,18-24 years old,Mid-level Developer,100-499 employees,Yes,USD,31,33,26,Remote,Oracle;MongoDB;PostgreSQL,Go;Kotlin;Ruby;Java,Colleague;Other online resources,98864.99
High School,18-24 years old,Junior Developer,100-499 employees,Yes,EUR,38,40,34,In-person,SQLite;MongoDB;PostgreSQL,Ruby;C#;Go;Kotlin,Books / Physical media,121615.33
High School,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,USD,44,45,42,Remote,PostgreSQL;Oracle,Java,Online Courses or Certification;Other online resources;Colleague,153051.02
Bachelor's,25-34 years old,Junior Developer,500-999 employees,No,GBP,41,41,38,Hybrid,MySQL,Python;Go,Books / Physical media;Online Courses or Certification,122845.88
PhD,45-54 years old,Tech Lead,1-9 employees,Yes,EUR,35,35,31,In-person,MongoDB;Oracle,C#,Other online resources;Colleague,148816.02
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,GBP,16,20,12,Hybrid,MongoDB;MySQL;SQLite,Kotlin;C#,Other online resources;Online Courses or Certification;Colleague,96517.05
Master's,35-44 years old,Student,100-499 employees,Yes,EUR,2,7,0,In-person,Oracle,Swift;Java;C++,Colleague;Books / Physical media;Online Courses or Certification,36304.67
PhD,35-44 years old,Senior Developer,"1,000 to 4,999 employees",Yes,INR,20,25,18,Remote,MySQL,Python;Ruby;Go;JavaScript,Colleague,85524.05
Master's,18-24 years old,Junior Developer,"5,000 to 9,999 employees",Yes,INR,5,9,5,Hybrid,MongoDB,Java,Other online resources;Books / Physical media,55239.74
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,USD,37,40,36,Remote,PostgreSQL;Oracle,Python,Other online resources;Colleague;Online Courses or Certification,147551.89
Master's,35-44 years old,Senior Developer,"5,000 to 9,999 employees",Yes,GBP,36,41,33,In-person,Oracle;MongoDB,Python;JavaScript;C#,Other online resources;Books / Physical media,139697.17
High School,55+ years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,EUR,28,28,25,In-person,Oracle;MongoDB,Python,Books / Physical media,116053.14
PhD,45-54 years old,Junior Developer,"1,000 to 4,999 employees",No,USD,48,49,43,Remote,SQLite;MySQL;MongoDB,C++;Ruby;Go;JavaScript,Books / Physical media;Colleague,158836.25
Bachelor's,25-34 years old,Student,"1,000 to 4,999 employees",Yes,EUR,15,18,14,Remote,PostgreSQL;SQLite;Oracle,Python;Java;Go;Swift,Other online resources;Colleague,66634.99
High School,18-24 years old,Junior Developer,100-499 employees,No,USD,11,12,9,Hybrid,Oracle;SQLite;MySQL,Python;Java,Other online resources,44444.58
PhD,55+ years old,Junior Developer,"10,000+ employees",Yes,EUR,25,25,25,Hybrid,MySQL;PostgreSQL,Go;C++;JavaScript;Java,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,110819.33
Bachelor's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,EUR,10,10,7,Hybrid,Oracle;PostgreSQL,Kotlin;C#;Python;Swift,Colleague;Other online resources,74673.62
PhD,35-44 years old,Student,1-9 employees,Yes,INR,19,20,18,In-person,MongoDB,JavaScript,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,91402.66
Bachelor's,25-34 years old,Student,"1,000 to 4,999 employees",No,EUR,46,50,45,In-person,Oracle,C++;C#;Kotlin,Other online resources;Online Courses or Certification;Colleague;Books / Physical media,139903.85
Master's,35-44 years old,Junior Developer,"5,000 to 9,999 employees",Yes,EUR,49,50,45,Hybrid,MySQL;SQLite;Oracle,C++,Other online resources;Colleague,167416.6
High School,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",No,GBP,38,43,38,Remote,SQLite;Oracle,JavaScript;Swift,Other online resources,115150.06
Bachelor's,45-54 years old,Senior Developer,"5,000 to 9,999 employees",Yes,USD,35,40,35,In-person,Oracle;PostgreSQL;MySQL,Swift,Books / Physical media;Colleague;Other online resources,125353.04
PhD,25-34 years old,Senior Developer,500-999 employees,No,GBP,21,21,18,Hybrid,MongoDB;Oracle,Python,Online Courses or Certification,83971.41
Master's,18-24 years old,Senior Developer,"5,000 to 9,999 employees",Yes,USD,36,40,36,In-person,MySQL;Oracle;MongoDB,Ruby;Kotlin;Swift;C#,Other online resources;Online Courses or Certification;Books / Physical media,135135.4
Bachelor's,25-34 years old,Mid-level Developer,10-99 employees,No,INR,2,5,0,Remote,PostgreSQL,Swift;Go,Other online resources;Colleague;Online Courses or Certification,24207.26
Master's,55+ years old,Student,500-999 employees,Yes,INR,14,16,11,Hybrid,PostgreSQL;MongoDB;SQLite,Kotlin;JavaScript;Swift;Java,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,71910.8
PhD,35-44 years old,Junior Developer,"5,000 to 9,999 employees",Yes,GBP,38,42,37,Hybrid,PostgreSQL,Python,Books / Physical media,141947.51
Bachelor's,18-24 years old,Student,"1,000 to 4,999 employees",Yes,GBP,25,30,24,In-person,Oracle;MongoDB,Kotlin;Ruby;C#;C++,Colleague,82986.02
Master's,25-34 years old,Tech Lead,500-999 employees,No,EUR,12,13,7,In-person,Oracle,Ruby;Python;Swift;Go,Books / Physical media;Other online resources,76632.87
High School,35-44 years old,Junior Developer,"1,000 to 4,999 employees",No,EUR,7,11,2,Remote,Oracle,C++;JavaScript,Books / Physical media,35409.34
Bachelor's,25-34 years old,Student,100-499 employees,Yes,USD,42,42,41,In-person,MongoDB;PostgreSQL;Oracle,JavaScript;Go;Ruby,Other online resources;Colleague;Books / Physical media;Online Courses or Certification,132754.06
Master's,25-34 years old,Tech Lead,1-9 employees,Yes,USD,7,12,3,Hybrid,PostgreSQL;SQLite,C#;Java;Swift,Other online resources;Books / Physical media,69735.59
PhD,55+ years old,Senior Developer,"10,000+ employees",No,INR,43,44,39,Hybrid,Oracle;MongoDB,Ruby;Kotlin;Java;C++,Other online resources;Online Courses or Certification;Colleague,151954.35
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,INR,23,28,21,Hybrid,MongoDB;SQLite;Oracle,Ruby;Java;C#,Other online resources,127263.79
High School,45-54 years old,Senior Developer,10-99 employees,Yes,USD,20,24,15,Hybrid,SQLite;Oracle,Ruby;Kotlin;Java,Colleague;Online Courses or Certification;Other online resources,79363.57
PhD,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,Yes,USD,23,25,23,In-person,PostgreSQL,C#;Ruby;Go,Online Courses or Certification;Other online resources,114119.1
High School,25-34 years old,Student,"10,000+ employees",Yes,EUR,45,49,45,Hybrid,SQLite;PostgreSQL,C++;Java,Colleague;Books / Physical media;Online Courses or Certification;Other online resources,152179.68
PhD,55+ years old,Junior Developer,"1,000 to 4,999 employees",Yes,INR,38,40,37,Remote,PostgreSQL;Oracle;MySQL,C++;Java;Go;Python,Online Courses or Certification;Books / Physical media;Colleague,130486.66
High School,45-54 years old,Mid-level Developer,1-9 employees,Yes,GBP,2,5,2,Remote,MongoDB,Python;C++;Java;C#,Books / Physical media,28261.46
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,USD,6,7,4,Hybrid,SQLite,Kotlin;Java;Ruby;Swift,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,71319.54
